Province/State,Country/Region,Last Update,Latitude,Longitude,Confirmed,Deaths,Recovered
Pahang,Malaysia,1/27/2020 23:59,,,0,0,0
Perak,Malaysia,1/27/2020 23:59,,,0,0,0
Perlis,Malaysia,1/27/2020 23:59,,,0,0,0
Pitcairn Islands,United Kingdom,1/27/2020 23:59,,,0,0,0
Pulau Pinang,Malaysia,1/27/2020 23:59,,,0,0,0
Qinghai,Mainland China,1/27/2020 23:59,,,6,,
Sabah,Malaysia,1/27/2020 23:59,,,0,0,0
Sarawak,Malaysia,1/27/2020 23:59,,,0,0,0
Scotland,United Kingdom,1/27/2020 23:59,,,0,0,0
Selangor,Malaysia,1/27/2020 23:59,,,0,0,0
Shaanxi,Mainland China,1/27/2020 23:59,,,35,,
Shandong,Mainland China,1/27/2020 23:59,,,75,,
Shanghai,Mainland China,1/27/2020 23:59,,,53,1,3
Shanxi,Mainland China,1/27/2020 23:59,,,13,,
Sichuan,Mainland China,1/27/2020 23:59,,,69,,
Taiwan,Taiwan,1/27/2020 23:59,,,5,,
Terengganu,Malaysia,1/27/2020 23:59,,,0,0,0
Tianjin,Mainland China,1/27/2020 23:59,,,23,,
Unknown,China,1/27/2020 23:59,,,,,
Unknown,Malaysia,1/27/2020 23:59,,,0,0,0
Unknown,Ukraine,1/27/2020 23:59,,,0,0,0
Unknown,United Kingdom,1/27/2020 23:59,,,0,0,0
Victoria,Australia,1/27/2020 23:59,,,1,,
W.P. Kuala Lumpur,Malaysia,1/27/2020 23:59,,,0,0,0
W.P. Labuan,Malaysia,1/27/2020 23:59,,,0,0,0
W.P. Putrajaya,Malaysia,1/27/2020 23:59,,,0,0,0
Wales,United Kingdom,1/27/2020 23:59,,,0,0,0
Washington,US,1/27/2020 23:59,,,1,,
Xinjiang,Mainland China,1/27/2020 23:59,,,5,,
Yunnan,Mainland China,1/27/2020 23:59,,,26,,
Zhejiang,Mainland China,1/27/2020 23:59,,,128,,1
,Japan,1/27/2020 23:59,,,4,,1
,Thailand,1/27/2020 23:59,,,8,0,6
